Strategy,Key,ExitTime,Symbol,EntryPrice,ExitPrice,Quantity,PositionStatus,Pnl,ExitType
MCX_Copper_5m_CCI_ADX_MFI_V28,2024-04-10 09:45:00,2024-04-10 11:18:00,MCX COPPER,821.9,822.15,7500,1,1875.0,StopLoss
MCX_Copper_5m_CCI_ADX_MFI_V28,2024-04-12 17:11:00,2024-04-12 19:45:00,MCX COPPER,831.55,830.3,7500,-1,9375.0,StopLoss
MCX_Copper_5m_CCI_ADX_MFI_V28,2024-04-16 12:30:00,2024-04-16 15:23:00,MCX COPPER,828.0,825.75,7500,-1,16875.0,StopLoss
MCX_Copper_5m_CCI_ADX_MFI_V28,2024-04-18 12:40:00,2024-04-18 18:32:00,MCX COPPER,839.0,839.25,7500,1,1875.0,StopLoss
MCX_Copper_5m_CCI_ADX_MFI_V28,2024-04-18 18:40:00,2024-04-18 21:39:00,MCX COPPER,837.2,838.45,7500,1,9375.0,StopLoss
MCX_Copper_5m_CCI_ADX_MFI_V28,2024-04-19 15:56:00,2024-04-19 18:46:00,MCX COPPER,842.05,842.3,7500,1,1875.0,StopLoss
MCX_Copper_5m_CCI_ADX_MFI_V28,2024-04-23 10:46:00,2024-04-23 12:26:00,MCX COPPER,835.5,833.25,7500,-1,16875.0,StopLoss
MCX_Copper_5m_CCI_ADX_MFI_V28,2024-04-23 22:05:00,2024-04-23 23:01:00,MCX COPPER,838.0,837.7,7500,1,-2250.0,TimeExit
MCX_Copper_5m_CCI_ADX_MFI_V28,2024-04-26 12:40:00,2024-04-26 20:09:00,MCX COPPER,860.55,856.55,7500,1,-30000.0,StopLoss
MCX_Copper_5m_CCI_ADX_MFI_V28,2024-04-30 11:30:00,2024-04-30 13:46:00,MCX COPPER,873.2,870.95,7500,-1,16875.0,StopLoss
MCX_Copper_5m_CCI_ADX_MFI_V28,2024-04-30 18:50:00,2024-04-30 23:00:00,MCX COPPER,860.2,859.85,7500,-1,2625.0,TimeExit
MCX_Copper_5m_CCI_ADX_MFI_V28,2024-05-01 17:35:00,2024-05-01 19:03:00,MCX COPPER,856.5,855.25,7500,-1,9375.0,StopLoss
MCX_Copper_5m_CCI_ADX_MFI_V28,2024-05-02 14:20:00,2024-05-02 16:24:00,MCX COPPER,858.0,845.75,7500,-1,91875.0,StopLoss
MCX_Copper_5m_CCI_ADX_MFI_V28,2024-05-02 16:25:00,2024-05-02 18:11:00,MCX COPPER,845.85,849.85,7500,-1,-30000.0,StopLoss
MCX_Copper_5m_CCI_ADX_MFI_V28,2024-05-03 09:55:00,2024-05-03 13:46:00,MCX COPPER,847.3,849.55,7500,1,16875.0,StopLoss
MCX_Copper_5m_CCI_ADX_MFI_V28,2024-05-03 15:25:00,2024-05-03 18:18:00,MCX COPPER,853.65,853.9,7500,1,1875.0,StopLoss
MCX_Copper_5m_CCI_ADX_MFI_V28,2024-05-03 18:20:00,2024-05-03 19:04:00,MCX COPPER,853.95,854.2,7500,1,1875.0,StopLoss
MCX_Copper_5m_CCI_ADX_MFI_V28,2024-05-06 12:50:00,2024-05-06 18:00:00,MCX COPPER,863.65,866.9,7500,1,24375.0,StopLoss
